iter	Logloss
0	0.6750637927
1	0.6577869765
2	0.6422200313
3	0.6287274477
4	0.6153652537
5	0.6031666134
6	0.5916773499
7	0.5813137206
8	0.5710544103
9	0.5622821882
10	0.5540327202
11	0.5464147259
12	0.5395757407
13	0.5319262554
14	0.5246795163
15	0.5182724729
16	0.5119792556
17	0.5069541945
18	0.5023023529
19	0.4970841544
20	0.4923858688
21	0.4877572622
22	0.4833233751
23	0.4797113829
24	0.4760213378
25	0.4726339508
26	0.4692390097
27	0.4661541457
28	0.4631752694
29	0.4603732184
30	0.4573155328
31	0.4544641517
32	0.4519203968
33	0.4495223879
34	0.4472888489
35	0.4450368789
36	0.4432326623
37	0.4410685323
38	0.4391501377
39	0.437329624
40	0.4358865898
41	0.4345735518
42	0.432961338
43	0.4312926361
44	0.4296520466
45	0.4283352451
46	0.4269065753
47	0.4257669408
48	0.4245961817
49	0.4234864424
50	0.4223450834
51	0.4214225167
52	0.4202324265
53	0.4194862092
54	0.4184806238
55	0.4175952399
56	0.4167943436
57	0.4162203259
58	0.4152370117
59	0.4146047322
60	0.4138442486
61	0.4131920778
62	0.4125760192
63	0.4118432251
64	0.4114189199
65	0.4107960852
66	0.4100731345
67	0.4095970911
68	0.4089464352
69	0.4085359566
70	0.4082128717
71	0.4076859814
72	0.4073852291
73	0.4069927718
74	0.4065282927
75	0.4060240165
76	0.4056817063
77	0.4050321222
78	0.4046271095
79	0.4042260427
80	0.4038252722
81	0.4034266269
82	0.4031776575
83	0.4028161633
84	0.4024176877
85	0.4021456244
86	0.4018293617
87	0.4016698737
88	0.4013460249
89	0.4008544804
90	0.4005670046
91	0.4002934583
92	0.4000505733
93	0.3999497373
94	0.3998344992
95	0.3996752965
96	0.3993665274
97	0.3991970849
98	0.398872911
99	0.398783234
