iter	Passed	Remaining
0	1	147
1	2	139
2	4	132
3	5	134
4	6	131
5	8	128
6	9	125
7	10	123
8	12	121
9	13	119
10	14	117
11	15	116
12	17	114
13	18	113
14	19	112
15	20	109
16	22	107
17	22	103
18	23	99
19	24	99
20	26	98
21	27	98
22	29	97
23	30	96
24	31	94
25	33	94
26	34	93
27	36	93
28	38	93
29	39	92
30	41	92
31	43	92
32	45	91
33	46	90
34	47	89
35	49	88
36	51	86
37	52	85
38	54	84
39	55	83
40	57	82
41	58	80
42	60	79
43	61	78
44	63	77
45	65	76
46	66	75
47	68	74
48	70	72
49	71	71
50	73	70
51	74	68
52	76	67
53	77	65
54	78	64
55	80	63
56	81	61
57	82	59
58	84	58
59	85	57
60	87	55
61	89	54
62	90	53
63	92	52
64	93	50
65	95	49
66	96	47
67	98	46
68	100	45
69	101	43
70	102	41
71	104	40
72	106	39
73	108	37
74	109	36
75	111	35
76	113	33
77	114	32
78	116	31
79	118	29
80	120	28
81	122	26
82	123	25
83	125	23
84	126	22
85	128	20
86	130	19
87	132	18
88	133	16
89	135	15
90	137	13
91	138	12
92	140	10
93	142	9
94	143	7
95	145	6
96	147	4
97	148	3
98	150	1
99	151	0
